id,year,wardno,noofoccupidhouses,noofhouseholds,totalpop,totalmale,totalfemale,totalcaste,malecaste,femalecaste,totaltribes,maletribes,femaletribes,totalliterates,maleliterates,femaleliterates,totalilliterates,maleilliterates,femaleilliterates
101,2001,26,2946,2968,12716,6506,6210,39,18,21,37,18,19,11246,5855,5391,1470,651,819
102,2001,27,2415,2423,11887,5990,5897,532,304,228,72,45,27,9925,5246,4679,1962,744,1218
103,2001,28,2940,2995,13084,6652,6432,60,34,26,12,6,6,11328,5923,5405,1756,729,1027
104,2001,29,2976,2987,12972,6534,6438,25,15,10,9,5,4,11500,5904,5596,1472,630,842
105,2001,30,2335,2547,11153,5731,5422,54,30,24,29,17,12,9455,5030,4425,1698,701,997
106,2001,31,3166,3216,14424,7142,7282,86,34,52,58,19,39,12702,6450,6252,1722,692,1030
107,2001,32,2694,2718,12977,6603,6374,145,74,71,60,28,32,10868,5799,5069,2109,804,1305
108,2001,33,2213,2222,11521,5838,5683,195,107,88,65,33,32,9157,4938,4219,2364,900,1464
109,2001,34,4509,4537,18724,9943,8781,1424,746,678,308,160,148,11355,6879,4476,7369,3064,4305
110,2001,35,2787,2932,15544,7959,7585,2709,1363,1346,107,43,64,10443,5918,4525,5101,2041,3060
111,2001,36,3557,3632,18928,9669,9259,3074,1557,1517,221,107,114,13742,7560,6182,5186,2109,3077
112,2001,37,5097,5193,24916,12948,11968,2409,1277,1132,75,39,36,19547,10711,8836,5369,2237,3132
113,2001,38,6110,6180,29629,15437,14192,10520,5425,5095,341,176,165,17941,10358,7583,11688,5079,6609
114,2001,39,12599,13009,63812,33451,30361,11822,6050,5772,646,342,304,38378,22022,16356,25434,11429,14005
115,2001,40,2703,2811,14912,7625,7287,663,349,314,65,35,30,12457,6581,5876,2455,1044,1411
116,2001,41,2198,2214,12274,6341,5933,1422,735,687,115,62,53,9298,5250,4048,2976,1091,1885
117,2001,42,2111,2182,12536,6504,6032,320,164,156,25,11,14,9755,5440,4315,2781,1064,1717
118,2001,43,1902,1926,12068,6148,5920,604,307,297,12,7,5,8818,4693,4125,3250,1455,1795
119,2001,44,1954,1980,11372,5823,5549,329,171,158,78,38,40,8601,4759,3842,2771,1064,1707
120,2001,45,1992,2025,11314,5756,5558,117,64,53,94,54,40,8944,4836,4108,2370,920,1450
121,2001,46,1840,1932,11664,5983,5681,334,142,192,12,9,3,9033,4934,4099,2631,1049,1582
122,2001,47,2061,2177,11845,5377,6468,630,176,454,6,3,3,8259,4449,3810,3586,928,2658
123,2001,48,2336,2395,11441,5787,5654,32,15,17,26,13,13,9665,5129,4536,1776,658,1118
124,2001,49,2164,2222,10934,5557,5377,29,14,15,71,36,35,9260,4870,4390,1674,687,987
